filename,experimental_setup_height_mm,true_length_mm,true_width_mm,status,opencv_estimated_length_mm,opencv_estimated_width_mm,opencv_status,anycalib_estimated_length_mm,anycalib_estimated_width_mm,anycalib_status,geocalib_estimated_length_mm,geocalib_estimated_width_mm,geocalib_status,perspective_estimated_length_mm,perspective_estimated_width_mm,perspective_status,opencv_length_signed_error_mm,opencv_length_absolute_error_mm,opencv_length_percentage_error,opencv_width_signed_error_mm,opencv_width_absolute_error_mm,opencv_width_percentage_error,anycalib_length_signed_error_mm,anycalib_length_absolute_error_mm,anycalib_length_percentage_error,anycalib_width_signed_error_mm,anycalib_width_absolute_error_mm,anycalib_width_percentage_error,geocalib_length_signed_error_mm,geocalib_length_absolute_error_mm,geocalib_length_percentage_error,geocalib_width_signed_error_mm,geocalib_width_absolute_error_mm,geocalib_width_percentage_error,perspective_length_signed_error_mm,perspective_length_absolute_error_mm,perspective_length_percentage_error,perspective_width_signed_error_mm,perspective_width_absolute_error_mm,perspective_width_percentage_error
1.1.jpg,490.0,72.0,49.0,ok,47.24535601570257,71.35190091701504,ok,47.88123157128812,70.75449809455013,ok,47.850572357014094,70.71131267406915,ok,52.13080171025271,67.22040112321555,ok,-24.75464398429743,24.75464398429743,34.38144997819087,22.351900917015044,22.351900917015044,45.616124320438864,-24.11876842871188,24.11876842871188,33.49828948432206,21.75449809455013,21.75449809455013,44.396934886836995,-24.149427642985906,24.149427642985906,33.54087172636932,21.71131267406915,21.71131267406915,44.30880137565133,-19.86919828974729,19.86919828974729,27.596108735760122,18.220401123215552,18.220401123215552,37.184492088195
1.2.jpg,490.0,72.0,49.0,ok,48.275126073880465,71.71131451530698,ok,48.5163520823525,71.31393305756463,ok,48.467025188405906,71.65009888733334,ok,50.31798629319505,72.53957451152732,ok,-23.724873926119535,23.724873926119535,32.95121378627714,22.71131451530698,22.71131451530698,46.349621459810166,-23.483647917647502,23.483647917647502,32.61617766339931,22.313933057564626,22.313933057564626,45.53863889298903,-23.532974811594094,23.532974811594094,32.68468723832513,22.650098887333343,22.650098887333343,46.22469160680274,-21.682013706804952,21.682013706804952,30.11390792611799,23.53957451152732,23.53957451152732,48.03994798270882
1.3.jpg,490.0,72.0,49.0,ok,46.9557173118011,72.40502399698153,ok,47.80488584676555,70.93774225056086,ok,47.80297746192174,70.90113941828892,ok,24488.611463991263,96360.00600404426,ok,-25.044282688198898,25.044282688198898,34.7837259558318,23.405023996981527,23.405023996981527,47.765355095880665,-24.19511415323445,24.19511415323445,33.60432521282563,21.93774225056086,21.93774225056086,44.77090255216502,-24.197022538078258,24.197022538078258,33.606975747330914,21.90113941828892,21.90113941828892,44.696202894467184,24416.611463991263,24416.611463991263,33911.96036665454,96311.00600404426,96311.00600404426,196553.07347764136
2.1.jpg,630.0,72.0,49.0,ok,70.90408406512493,48.22214594758136,ok,70.78877536634727,48.42107214101821,ok,70.85918557538042,48.30723453226978,ok,71.15779528118343,48.376510438910294,ok,-1.095915934875066,1.095915934875066,1.5221054651042585,-0.7778540524186397,0.7778540524186397,1.5874572498339585,-1.2112246336527335,1.2112246336527335,1.6822564356287966,-0.5789278589817926,0.5789278589817926,1.1814854264934542,-1.1408144246195775,1.1408144246195775,1.584464478638302,-0.6927654677302186,0.6927654677302186,1.4138070770004463,-0.8422047188165749,0.8422047188165749,1.1697287761341317,-0.6234895610897055,0.6234895610897055,1.2724276756932766
2.2.jpg,630.0,72.0,49.0,ok,47.99887019155503,70.68132863582954,ok,47.973833824541046,70.7595860757242,ok,47.97227730847863,70.75210912538574,ok,48.832469576820536,72.58600661240344,ok,-24.001129808444972,24.001129808444972,33.334902511729126,21.681328635829544,21.681328635829544,44.24760946087662,-24.026166175458954,24.026166175458954,33.369675243692996,21.7595860757242,21.7595860757242,44.407318521886125,-24.02772269152137,24.02772269152137,33.37183707155746,21.752109125385743,21.752109125385743,44.39205943956274,-23.167530423179464,23.167530423179464,32.17712558774926,23.586006612403438,23.586006612403438,48.13470737225191
2.3.jpg,630.0,72.0,49.0,ok,71.63668910359623,48.53422328913921,ok,71.4999282967602,48.4796811985473,ok,71.27490225775301,48.440091379573836,ok,72.48172142053039,48.30819017996994,ok,-0.36331089640377456,0.36331089640377456,0.5045984672274646,-0.4657767108607871,0.4657767108607871,0.9505647160424227,-0.5000717032397972,0.5000717032397972,0.6945440322774961,-0.5203188014527029,0.5203188014527029,1.0618751050055162,-0.7250977422469873,0.7250977422469873,1.0070801975652601,-0.5599086204261638,0.5599086204261638,1.1426706539309466,0.48172142053039124,0.48172142053039124,0.6690575285144323,-0.6918098200300591,0.6918098200300591,1.4118567755715492
3.1.jpg,780.0,72.0,49.0,ok,71.3656973180422,49.22883791066378,ok,71.28624125991156,49.2685699215215,ok,70.70006433175789,49.32235124579222,ok,69.98171411709698,49.480502253735764,ok,-0.6343026819578057,0.6343026819578057,0.880975947163619,0.22883791066377768,0.22883791066377768,0.46701614421179116,-0.7137587400884371,0.7137587400884371,0.9913315834561627,0.2685699215214967,0.2685699215214967,0.5481018806561158,-1.2999356682421137,1.2999356682421137,1.8054662058918245,0.32235124579221974,0.32235124579221974,0.6578596852902444,-2.0182858829030152,2.0182858829030152,2.8031748373652987,0.4805022537357644,0.4805022537357644,0.9806168443587029
3.2.jpg,780.0,72.0,49.0,ok,48.47709799823951,71.03697019914821,ok,48.470974439926835,71.08248870351589,ok,48.623999993623066,71.10669975151035,ok,49.14822675995207,71.95875404929205,ok,-23.522902001760492,23.522902001760492,32.67069722466735,22.036970199148215,22.036970199148215,44.973408569690235,-23.529025560073165,23.529025560073165,32.679202166768285,22.082488703515892,22.082488703515892,45.06630347656305,-23.376000006376934,23.376000006376934,32.46666667552352,22.106699751510348,22.106699751510348,45.11571377859255,-22.851773240047933,22.851773240047933,31.738573944511018,22.958754049292054,22.958754049292054,46.85460010059603
3.3.jpg,780.0,72.0,49.0,ok,48.381681016064746,71.28313755949364,ok,48.582322164208314,71.27954203188835,ok,48.5910563405463,71.23503584719201,ok,49.02720027348674,71.00043923528813,ok,-23.618318983935254,23.618318983935254,32.803220811021184,22.28313755949364,22.28313755949364,45.47579093774212,-23.417677835791686,23.417677835791686,32.52455254971067,22.279542031888354,22.279542031888354,45.46845312630276,-23.408943659453698,23.408943659453698,32.51242174924125,22.23503584719201,22.23503584719201,45.37762417794288,-22.97279972651326,22.97279972651326,31.90666628682397,22.000439235288127,22.000439235288127,44.89885558222066
4.1.jpg,930.0,72.0,49.0,ok,71.01357207809149,49.34850863577726,ok,70.91392303594911,49.47306425329614,ok,70.72407135151018,49.5704506298159,ok,71.24088558139886,49.722286210567944,ok,-0.9864279219085148,0.9864279219085148,1.3700387804284928,0.3485086357772573,0.3485086357772573,0.7112421138311374,-1.0860769640508892,1.0860769640508892,1.5084402278484572,0.4730642532961369,0.4730642532961369,0.9654372516247691,-1.275928648489824,1.275928648489824,1.7721231229025334,0.5704506298159018,0.5704506298159018,1.1641849588079627,-0.7591144186011434,0.7591144186011434,1.054325581390477,0.722286210567944,0.722286210567944,1.4740534909549876
